#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Thu Jan 04 10:27:14 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ADC0_map.ncd
#OUTPUT FILE:      ADC0_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AC34,,LOWCAPIOB,IO_L9N_CC_LC_15,UNUSED,,15,,,,,,,,,,
AC35,,IOBM,IO_L7P_15,UNUSED,,15,,,,,,,,,,
AC36,,,GND,,,,,,,,,,,,,
AC37,,IOBS,IO_L10N_15,UNUSED,,15,,,,,,,,,,
AC38,,IOBM,IO_L5P_15,UNUSED,,15,,,,,,,,,,
AC39,,IOBS,IO_L5N_15,UNUSED,,15,,,,,,,,,,
AD1,,IOBS,IO_L18N_16,UNUSED,,16,,,,,,,,,,
AD2,,IOBM,IO_L18P_16,UNUSED,,16,,,,,,,,,,
AD3,,,GND,,,,,,,,,,,,,
AD4,,IOBS,IO_L19N_16,UNUSED,,16,,,,,,,,,,
AD5,,IOBM,IO_L19P_16,UNUSED,,16,,,,,,,,,,
AD6,,IOBS,IO_L28N_VREF_16,UNUSED,,16,,,,,,,,,,
AD7,,IOBM,IO_L23P_VRN_16,UNUSED,,16,,,,,,,,,,
AD8,,,VCCO_16,,,16,,,,,any******,,,,,
AD9,,IOBS,IO_L22N_16,UNUSED,,16,,,,,,,,,,
AD10,,,VCCINT,,,,,,,,1.2,,,,,
AD11,,LOWCAPIOB,IO_L25N_CC_LC_16,UNUSED,,16,,,,,,,,,,
AD12,,,VCCINT,,,,,,,,1.2,,,,,
AD13,,,GND,,,,,,,,,,,,,
AD14,,,VCCINT,,,,,,,,1.2,,,,,
AD15,,,GND,,,,,,,,,,,,,
AD16,,,VCCINT,,,,,,,,1.2,,,,,
AD17,,LOWCAPIOB,IO_L20N_VREF_LC_2,UNUSED,,2,,,,,,,,,,
AD18,,,VCCO_2,,,2,,,,,any******,,,,,
AD19,,,GND,,,,,,,,,,,,,
AD20,,,VCCINT,,,,,,,,1.2,,,,,
AD21,,LOWCAPIOB,IO_L19N_LC_2,UNUSED,,2,,,,,,,,,,
AD22,,,VCCINT,,,,,,,,1.2,,,,,
AD23,,,GND,,,,,,,,,,,,,
AD24,,,VCCINT,,,,,,,,1.2,,,,,
AD25,,LOWCAPIOB,IO_L9P_CC_LC_11,UNUSED,,11,,,,,,,,,,
AD26,,IOBM,IO_L5P_11,UNUSED,,11,,,,,,,,,,
AD27,,IOBM,IO_L3P_11,UNUSED,,11,,,,,,,,,,
AD28,,,VCCO_11,,,11,,,,,any******,,,,,
AD29,,IOBS,IO_L2N_11,UNUSED,,11,,,,,,,,,,
AD30,,,VCCINT,,,,,,,,1.2,,,,,
AD31,,IOBM,IO_L19P_15,UNUSED,,15,,,,,,,,,,
AD32,,IOBS,IO_L19N_15,UNUSED,,15,,,,,,,,,,
AD33,,,GND,,,,,,,,,,,,,
AD34,,IOBS,IO_L18N_15,UNUSED,,15,,,,,,,,,,
AD35,,IOBM,IO_L14P_15,UNUSED,,15,,,,,,,,,,
AD36,,IOBS,IO_L14N_15,UNUSED,,15,,,,,,,,,,
AD37,,IOBM,IO_L10P_15,UNUSED,,15,,,,,,,,,,
AD38,,,VCCO_15,,,15,,,,,any******,,,,,
AD39,,IOBS,IO_L12N_VREF_15,UNUSED,,15,,,,,,,,,,
