Release 7.1.04i - par H.42
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

Wed Jul 04 00:51:38 2007


INPUT FILE:       FPGA1_map.ncd
OUTPUT FILE:      FPGA1_pad.txt
PART TYPE:        xc4vlx200
SPEED GRADE:      -10
PACKAGE:          ff1513

Pinout by Pin Number:

+----------+---------------------+---------+--------------------+---------+-----------+--------------+----------+---------+-----------+---------+---------+----------+---------+-----------+----------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
|AA39      |AWVALID_DDR          |IOB      |IO_L28N_VREF_13     |INPUT    |LVCMOS25   |13            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB1       |                     |IOBS     |IO_L12N_VREF_16     |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB2       |                     |IOBM     |IO_L12P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB3       |                     |IOBS     |IO_L7N_16           |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB4       |                     |         |VCCO_16             |         |           |16            |          |         |           |         |any******|          |         |           |                |
|AB5       |                     |IOBS     |IO_L11N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB6       |                     |IOBM     |IO_L11P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB7       |                     |IOBM     |IO_L14P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB8       |                     |IOBS     |IO_L17N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB9       |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AB10      |                     |IOBS     |IO_L15N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB11      |                     |IOBM     |IO_L15P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB12      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AB13      |                     |IOBM     |IO_L20P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB14      |                     |         |VCCO_16             |         |           |16            |          |         |           |         |any******|          |         |           |                |
|AB15      |                     |IOBM     |IO_L21P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AB16      |                     |         |TDO_0               |         |           |              |          |         |           |         |         |          |         |           |                |
|AB17      |                     |         |TDI_0               |         |           |              |          |         |           |         |         |          |         |           |                |
|AB18      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AB19      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AB20      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AB21      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AB22      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AB23      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AB24      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AB25      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AB26      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AB27      |HADDR_S0[24]         |IOB      |IO_L17P_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB28      |HADDR_S0[25]         |IOB      |IO_L17N_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB29      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AB30      |HADDR_S0[21]         |IOB      |IO_L15N_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB31      |HADDR_S0[13]         |IOB      |IO_L11N_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB32      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AB33      |HADDR_S0[6]          |IOB      |IO_L8P_CC_LC_15     |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB34      |                     |         |VCCO_15             |         |           |15            |          |         |           |         |2.50     |          |         |           |                |
|AB35      |HADDR_S0[5]          |IOB      |IO_L7N_15           |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB36      |WDATA_DDR[3]         |IOB      |IO_L31P_13          |INPUT    |LVCMOS25   |13            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB37      |WDATA_DDR[4]         |IOB      |IO_L31N_13          |INPUT    |LVCMOS25   |13            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB38      |WDATA_DDR[5]         |IOB      |IO_L32P_13          |INPUT    |LVCMOS25   |13            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB39      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AC1       |                     |         |VCCO_16             |         |           |16            |          |         |           |         |any******|          |         |           |                |
|AC2       |                     |IOBS     |IO_L13N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC3       |                     |IOBM     |IO_L13P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC4       |                     |IOBS     |IO_L16N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC5       |                     |IOBM     |IO_L16P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC6       |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AC7       |                     |IOBS     |IO_L23N_VRP_16      |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC8       |                     |IOBM     |IO_L17P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC9       |                     |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |         |           |                |
|AC10      |                     |IOBM     |IO_L22P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC11      |                     |         |VCCO_16             |         |           |16            |          |         |           |         |any******|          |         |           |                |
|AC12      |                     |LOWCAPIOB|IO_L25P_CC_LC_16    |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC13      |                     |IOBS     |IO_L20N_VREF_16     |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC14      |                     |IOBS     |IO_L21N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AC15      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AC16      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AC17      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AC18      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AC19      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AC20      |                     |LOWCAPIOB|IO_L35N_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|AC21      |                     |         |VCCO_2              |         |           |2             |          |         |           |         |any******|          |         |           |                |
|AC22      |                     |LOWCAPIOB|IO_L35P_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|AC23      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AC24      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AC25      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AC26      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AC27      |HWDATA_S0[16]        |IOB      |IO_L3N_11           |INPUT    |LVCMOS25   |11            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
