#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Mon Dec 18 09:50:04 2006

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       U60_map.ncd
#OUTPUT FILE:      U60_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AC15,,,VCCINT,,,,,,,,1.2,,,,,
AC16,,,GND,,,,,,,,,,,,,
AC17,,,VCCINT,,,,,,,,1.2,,,,,
AC18,,,GND,,,,,,,,,,,,,
AC19,,,VCCINT,,,,,,,,1.2,,,,,
AC20,,LOWCAPIOB,IO_L35N_LC_2,UNUSED,,2,,,,,,,,,,
AC21,,,VCCO_2,,,2,,,,,any******,,,,,
AC22,,LOWCAPIOB,IO_L35P_LC_2,UNUSED,,2,,,,,,,,,,
AC23,,,VCCINT,,,,,,,,1.2,,,,,
AC24,,,GND,,,,,,,,,,,,,
AC25,,,VCCINT,,,,,,,,1.2,,,,,
AC26,,,GND,,,,,,,,,,,,,
AC27,FPGA_CON<261>,IOB,IO_L3N_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AC28,FPGA_CON<258>,IOB,IO_L2P_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AC29,,,VCCAUX,,,,,,,,2.5,,,,,
AC30,FPGA_CON<220>,IOB,IO_L15P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AC31,,,VCCO_15,,,15,,,,,2.50,,,,,
AC32,FPGA_CON<212>,IOB,IO_L11P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AC33,FPGA_CON<208>,IOB,IO_L9P_CC_LC_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AC34,FPGA_CON<209>,IOB,IO_L9N_CC_LC_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AC35,FPGA_CON<204>,IOB,IO_L7P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AC36,,,GND,,,,,,,,,,,,,
